	KO	category	foldChange	GeneName
125	K02407	Flagellar assembly	-2.078650091	 fliD; flagellar hook-associated protein 2
126	K02408	Flagellar assembly	-1.56431571	 fliE; flagellar hook-basal body complex protein FliE
127	K02414	Flagellar assembly	-2.387339802	 fliK; flagellar hook-length control protein FliK
128	K02422	Flagellar assembly	-2.16507034	 fliS; flagellar protein FliS
129	K02437	Glyoxylate and dicarboxylate metabolism	-1.987413357	" gcvH, GCSH; glycine cleavage system H protein"
131	K02650	Two-component system	-2.791886625	 pilA; type IV pilus assembly protein PilA
132	K03389	Methane metabolism	1.795721621	 hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
134	K03407	Bacterial chemotaxis	-1.679723679	" cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"
136	K03408	Bacterial chemotaxis	-1.693992423	 cheW; purine-binding chemotaxis protein CheW
138	K03412	Two-component system	-1.583489771	" cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"
140	K03415	Bacterial chemotaxis	-1.727935902	" cheV; two-component system, chemotaxis family, chemotaxis protein CheV"
142	K03781	Carbon metabolism	-2.325853795	" katE, CAT, catB, srpA; catalase [EC:1.11.1.6]"
144	K05341	Starch and sucrose metabolism	4.106092483	 E2.4.1.4; amylosucrase [EC:2.4.1.4]
145	K06016	Pyrimidine metabolism	1.97250915	 pydC; beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]
146	K06896	Starch and sucrose metabolism	1.500822763	 mapP; maltose 6'-phosphate phosphatase [EC:3.1.3.90]
147	K07250	Propanoate metabolism	1.99025276	 gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
151	K07405	Starch and sucrose metabolism	-1.926050547	 E3.2.1.1A; alpha-amylase [EC:3.2.1.1]
152	K07652	Two-component system	1.897802324	" vicK; two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]"
153	K07668	Two-component system	1.571841869	" vicR; two-component system, OmpR family, response regulator VicR"
154	K07777	Two-component system	-2.06544005	" degS; two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]"
155	K08722	Pyrimidine metabolism	1.75014663	 yfbR; 5'-deoxynucleotidase [EC:3.1.3.89]
156	K10540	Bacterial chemotaxis	-1.795907068	 mglB; methyl-galactoside transport system substrate-binding protein
157	K10914	Two-component system	4.88980285	" crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"
158	K11261	Carbon metabolism	1.754816962	" fwdE, fmdE; formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12]"
160	K11645	Methane metabolism	-1.868479985	" fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
163	K17722	Pantothenate and CoA biosynthesis	5.064830406	 preT; dihydropyrimidine dehydrogenase (NAD+) subunit PreT [EC:1.3.1.1]
166	K17723	beta-Alanine metabolism	1.884507402	 preA; dihydropyrimidine dehydrogenase (NAD+) subunit PreA [EC:1.3.1.1]
169	K18118	Carbon metabolism	2.627689522	" aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]"
173	K18344	Vancomycin resistance	1.57943495	" vanRB, vanR, vanRD; two-component system, OmpR family, response regulator VanR"
175	K18348	Vancomycin resistance	2.592029297	 vanT; serine/alanine racemase [EC:5.1.1.18 5.1.1.1]
177	K18856	Two-component system	2.704648183	" vanC, vanE, vanG; D-alanine---D-serine ligase [EC:6.3.2.35]"
179	K18866	Two-component system	2.642703916	 vanXY; zinc D-Ala-D-Ala dipeptidase/carboxypeptidase [EC:3.4.13.22 3.4.17.14]
181	K20489	Two-component system	2.340271422	 nisI; lantibiotic immunity protein
182	K22373	Pyruvate metabolism	-2.313882677	 larA; lactate racemase [EC:5.1.2.1]
183	K23259	Propanoate metabolism	-2.144366951	 adh; isopropanol dehydrogenase (NADP+) [EC:1.1.1.80]
