"","KO","LocusTag","B1T24","B2T24","B3T24","B1T48","B2T48","B3T48","Level_1","Level_2","Level_3","KOID","GeneName","BacterialStrain","Locus"
"14","K00005","Eubacterium_siraeum_02138",2543,3878,564,2127,1451,569,"09100 Metabolism","09101 Carbohydrate metabolism","00640 Propanoate metabolism [PATH:ko00640]","K00005"," gldA; glycerol dehydrogenase [EC:1.1.1.6]","Eubacterium_siraeum","02138"
"15","K00005","Lachnospiraceae_bacterium_7_1_58FAA_00696",19,14,37,89,119,151,"09100 Metabolism","09101 Carbohydrate metabolism","00640 Propanoate metabolism [PATH:ko00640]","K00005"," gldA; glycerol dehydrogenase [EC:1.1.1.6]","Lachnospiraceae_bacterium","7_1_58FAA_00696"
"16","K00005","Lachnospiraceae_bacterium_7_1_58FAA_04688",145,403,62,124,119,249,"09100 Metabolism","09101 Carbohydrate metabolism","00640 Propanoate metabolism [PATH:ko00640]","K00005"," gldA; glycerol dehydrogenase [EC:1.1.1.6]","Lachnospiraceae_bacterium","7_1_58FAA_04688"
"17","K00008","Lachnospiraceae_bacterium_7_1_58FAA_00707",393,363,161,655,354,329,"09100 Metabolism","09101 Carbohydrate metabolism","00040 Pentose and glucuronate interconversions [PATH:ko00040]","K00008"," SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]","Lachnospiraceae_bacterium","7_1_58FAA_00707"
"18","K00008","Agathobacter_rectalis_01264",139,156,415,211,450,661,"09100 Metabolism","09101 Carbohydrate metabolism","00040 Pentose and glucuronate interconversions [PATH:ko00040]","K00008"," SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]","Agathobacter_rectalis","01264"
"19","K00008","Anaerobutyricum_soehngenii_01375",118,225,6,8,44,429,"09100 Metabolism","09101 Carbohydrate metabolism","00040 Pentose and glucuronate interconversions [PATH:ko00040]","K00008"," SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]","Anaerobutyricum_soehngenii","01375"
"20","K00008","Bacteroides_xylanisolvens_01224",42,20,36,47,90,108,"09100 Metabolism","09101 Carbohydrate metabolism","00040 Pentose and glucuronate interconversions [PATH:ko00040]","K00008"," SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]","Bacteroides_xylanisolvens","01224"
"21","K00008","Lachnospiraceae_bacterium_7_1_58FAA_04316",22,22,37,71,83,84,"09100 Metabolism","09101 Carbohydrate metabolism","00040 Pentose and glucuronate interconversions [PATH:ko00040]","K00008"," SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]","Lachnospiraceae_bacterium","7_1_58FAA_04316"
"22","K00008","Bacteroides_ovatus_02505",35,38,66,120,184,254,"09100 Metabolism","09101 Carbohydrate metabolism","00040 Pentose and glucuronate interconversions [PATH:ko00040]","K00008"," SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]","Bacteroides_ovatus","02505"
"23","K00012","Coprococcus_catus_02241",13,40,4,16,26,131,"09100 Metabolism","09101 Carbohydrate metabolism","00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","K00012"," UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","Coprococcus_catus","02241"
"24","K00012","Bacteroides_ovatus_01233",53,61,170,123,123,226,"09100 Metabolism","09101 Carbohydrate metabolism","00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","K00012"," UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","Bacteroides_ovatus","01233"
"25","K00012","Coprococcus_catus_02995",11,13,1,2,16,107,"09100 Metabolism","09101 Carbohydrate metabolism","00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","K00012"," UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","Coprococcus_catus","02995"
"26","K00012","Bacteroides_xylanisolvens_02979",65,78,222,131,260,315,"09100 Metabolism","09101 Carbohydrate metabolism","00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","K00012"," UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","Bacteroides_xylanisolvens","02979"
"27","K00012","Bacteroides_ovatus_01290",68,76,176,172,361,385,"09100 Metabolism","09101 Carbohydrate metabolism","00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","K00012"," UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","Bacteroides_ovatus","01290"
"28","K00012","Roseburia_intestinalis_03491",74,66,106,43,52,48,"09100 Metabolism","09101 Carbohydrate metabolism","00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","K00012"," UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","Roseburia_intestinalis","03491"
"29","K00012","Bacteroides_ovatus_00738",75,62,213,136,154,284,"09100 Metabolism","09101 Carbohydrate metabolism","00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","K00012"," UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","Bacteroides_ovatus","00738"
"30","K00012","Subdoligranulum_variabile_00414",28,36,68,87,103,301,"09100 Metabolism","09101 Carbohydrate metabolism","00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","K00012"," UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","Subdoligranulum_variabile","00414"
"31","K00012","Bacteroides_ovatus_00998",23,21,70,53,54,121,"09100 Metabolism","09101 Carbohydrate metabolism","00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","K00012"," UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","Bacteroides_ovatus","00998"
"32","K00012","Bacteroides_xylanisolvens_02897",13,8,24,19,62,65,"09100 Metabolism","09101 Carbohydrate metabolism","00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","K00012"," UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","Bacteroides_xylanisolvens","02897"
"33","K00013","Coprococcus_catus_01941",45,34,14,35,29,159,"09100 Metabolism","09105 Amino acid metabolism","00340 Histidine metabolism [PATH:ko00340]","K00013"," hisD; histidinol dehydrogenase [EC:1.1.1.23]","Coprococcus_catus","01941"
"34","K00013","Faecalibacterium_prausnitzii_02771",64,71,121,153,220,176,"09100 Metabolism","09105 Amino acid metabolism","00340 Histidine metabolism [PATH:ko00340]","K00013"," hisD; histidinol dehydrogenase [EC:1.1.1.23]","Faecalibacterium_prausnitzii","02771"
"35","K00013","Bacteroides_xylanisolvens_01963",49,69,202,137,237,331,"09100 Metabolism","09105 Amino acid metabolism","00340 Histidine metabolism [PATH:ko00340]","K00013"," hisD; histidinol dehydrogenase [EC:1.1.1.23]","Bacteroides_xylanisolvens","01963"
"36","K00013","Agathobacter_rectalis_01520",390,552,570,197,417,600,"09100 Metabolism","09105 Amino acid metabolism","00340 Histidine metabolism [PATH:ko00340]","K00013"," hisD; histidinol dehydrogenase [EC:1.1.1.23]","Agathobacter_rectalis","01520"
"37","K00013","Roseburia_intestinalis_03219",100,74,58,37,69,38,"09100 Metabolism","09105 Amino acid metabolism","00340 Histidine metabolism [PATH:ko00340]","K00013"," hisD; histidinol dehydrogenase [EC:1.1.1.23]","Roseburia_intestinalis","03219"
"38","K00013","Faecalibacterium_prausnitzii_02770",105,114,221,305,374,345,"09100 Metabolism","09105 Amino acid metabolism","00340 Histidine metabolism [PATH:ko00340]","K00013"," hisD; histidinol dehydrogenase [EC:1.1.1.23]","Faecalibacterium_prausnitzii","02770"
"39","K00013","Anaerobutyricum_soehngenii_01063",103,135,104,101,169,231,"09100 Metabolism","09105 Amino acid metabolism","00340 Histidine metabolism [PATH:ko00340]","K00013"," hisD; histidinol dehydrogenase [EC:1.1.1.23]","Anaerobutyricum_soehngenii","01063"
"40","K00013","Eubacterium_siraeum_00075",263,410,71,243,454,286,"09100 Metabolism","09105 Amino acid metabolism","00340 Histidine metabolism [PATH:ko00340]","K00013"," hisD; histidinol dehydrogenase [EC:1.1.1.23]","Eubacterium_siraeum","00075"
"41","K00013","Lachnospiraceae_bacterium_7_1_58FAA_00060",30,30,59,208,198,219,"09100 Metabolism","09105 Amino acid metabolism","00340 Histidine metabolism [PATH:ko00340]","K00013"," hisD; histidinol dehydrogenase [EC:1.1.1.23]","Lachnospiraceae_bacterium","7_1_58FAA_00060"
"42","K00013","Bacteroides_ovatus_03517",56,82,248,173,204,331,"09100 Metabolism","09105 Amino acid metabolism","00340 Histidine metabolism [PATH:ko00340]","K00013"," hisD; histidinol dehydrogenase [EC:1.1.1.23]","Bacteroides_ovatus","03517"
"43","K00013","Subdoligranulum_variabile_01319",35,60,165,105,174,291,"09100 Metabolism","09105 Amino acid metabolism","00340 Histidine metabolism [PATH:ko00340]","K00013"," hisD; histidinol dehydrogenase [EC:1.1.1.23]","Subdoligranulum_variabile","01319"
"44","K00014","Agathobacter_rectalis_02579",415,476,703,354,710,840,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Agathobacter_rectalis","02579"
"45","K00014","Lachnospiraceae_bacterium_7_1_58FAA_01798",31,61,61,220,233,273,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Lachnospiraceae_bacterium","7_1_58FAA_01798"
"46","K00014","Subdoligranulum_variabile_01260",53,40,101,88,118,250,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Subdoligranulum_variabile","01260"
"47","K00014","Anaerobutyricum_soehngenii_00257",5,7,11,4,27,28,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Anaerobutyricum_soehngenii","00257"
"48","K00014","Agathobacter_rectalis_02574",131,154,287,186,490,569,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Agathobacter_rectalis","02574"
"49","K00014","Faecalibacterium_prausnitzii_02392",199,248,806,1096,1091,911,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Faecalibacterium_prausnitzii","02392"
"50","K00014","Subdoligranulum_variabile_00303",6,8,28,27,45,137,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Subdoligranulum_variabile","00303"
"51","K00014","Anaerobutyricum_soehngenii_00525",0,9,4,9,24,22,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Anaerobutyricum_soehngenii","00525"
"52","K00014","Lachnospiraceae_bacterium_7_1_58FAA_01799",22,16,31,145,101,116,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Lachnospiraceae_bacterium","7_1_58FAA_01799"
"53","K00014","Bacteroides_xylanisolvens_01033",42,56,132,78,130,168,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Bacteroides_xylanisolvens","01033"
"54","K00014","Anaerobutyricum_soehngenii_00517",34,69,6,35,31,111,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Anaerobutyricum_soehngenii","00517"
"55","K00014","Coprococcus_catus_02499",19,18,1,18,14,74,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Coprococcus_catus","02499"
"56","K00014","Roseburia_intestinalis_03108",87,79,43,26,32,14,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Roseburia_intestinalis","03108"
"57","K00014","Eubacterium_siraeum_00852",160,163,51,123,237,111,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Eubacterium_siraeum","00852"
"58","K00014","Roseburia_intestinalis_03112",39,64,31,14,30,2,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Roseburia_intestinalis","03112"
"59","K00014","Bacteroides_ovatus_02281",34,53,132,83,81,132,"09100 Metabolism","09105 Amino acid metabolism","00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00014"," aroE; shikimate dehydrogenase [EC:1.1.1.25]","Bacteroides_ovatus","02281"
"60","K00016","Coprococcus_catus_01862",3,3,2,9,9,19,"09150 Organismal Systems","09152 Endocrine system","04922 Glucagon signaling pathway [PATH:ko04922]","K00016"," LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]","Coprococcus_catus","01862"
"61","K00016","Anaerobutyricum_soehngenii_02178",27,41,8,14,35,64,"09150 Organismal Systems","09152 Endocrine system","04922 Glucagon signaling pathway [PATH:ko04922]","K00016"," LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]","Anaerobutyricum_soehngenii","02178"
"62","K00016","Agathobacter_rectalis_02115",353,423,865,223,446,677,"09150 Organismal Systems","09152 Endocrine system","04922 Glucagon signaling pathway [PATH:ko04922]","K00016"," LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]","Agathobacter_rectalis","02115"
"63","K00016","Roseburia_intestinalis_03942",97,89,42,38,39,13,"09150 Organismal Systems","09152 Endocrine system","04922 Glucagon signaling pathway [PATH:ko04922]","K00016"," LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]","Roseburia_intestinalis","03942"
"64","K00016","Anaerobutyricum_soehngenii_02903",5,26,5,10,25,56,"09150 Organismal Systems","09152 Endocrine system","04922 Glucagon signaling pathway [PATH:ko04922]","K00016"," LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]","Anaerobutyricum_soehngenii","02903"
"65","K00016","Lachnospiraceae_bacterium_7_1_58FAA_03506",5,4,29,72,57,51,"09150 Organismal Systems","09152 Endocrine system","04922 Glucagon signaling pathway [PATH:ko04922]","K00016"," LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]","Lachnospiraceae_bacterium","7_1_58FAA_03506"
"66","K00016","Anaerobutyricum_soehngenii_00795",6,7,1,4,20,36,"09150 Organismal Systems","09152 Endocrine system","04922 Glucagon signaling pathway [PATH:ko04922]","K00016"," LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]","Anaerobutyricum_soehngenii","00795"
"67","K00016","Coprococcus_catus_00113",4,1,0,2,2,4,"09150 Organismal Systems","09152 Endocrine system","04922 Glucagon signaling pathway [PATH:ko04922]","K00016"," LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]","Coprococcus_catus","00113"
"68","K00016","Roseburia_intestinalis_01779",65,79,44,21,47,5,"09150 Organismal Systems","09152 Endocrine system","04922 Glucagon signaling pathway [PATH:ko04922]","K00016"," LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]","Roseburia_intestinalis","01779"
"69","K00016","Coprococcus_catus_00413",14,13,26,29,46,37,"09150 Organismal Systems","09152 Endocrine system","04922 Glucagon signaling pathway [PATH:ko04922]","K00016"," LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]","Coprococcus_catus","00413"
"70","K00016","Lachnospiraceae_bacterium_7_1_58FAA_03507",5,12,31,79,59,51,"09150 Organismal Systems","09152 Endocrine system","04922 Glucagon signaling pathway [PATH:ko04922]","K00016"," LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]","Lachnospiraceae_bacterium","7_1_58FAA_03507"
"71","K00018","Roseburia_intestinalis_03994",103,94,107,61,67,44,"09100 Metabolism","09102 Energy metabolism","00680 Methane metabolism [PATH:ko00680]","K00018"," hprA; glycerate dehydrogenase [EC:1.1.1.29]","Roseburia_intestinalis","03994"
"72","K00018","Anaerobutyricum_soehngenii_03075",9,18,5,8,43,52,"09100 Metabolism","09102 Energy metabolism","00680 Methane metabolism [PATH:ko00680]","K00018"," hprA; glycerate dehydrogenase [EC:1.1.1.29]","Anaerobutyricum_soehngenii","03075"
"73","K00018","Bacteroides_ovatus_03877",50,46,148,72,79,122,"09100 Metabolism","09102 Energy metabolism","00680 Methane metabolism [PATH:ko00680]","K00018"," hprA; glycerate dehydrogenase [EC:1.1.1.29]","Bacteroides_ovatus","03877"
"74","K00018","Faecalibacterium_prausnitzii_01376",244,238,610,861,775,709,"09100 Metabolism","09102 Energy metabolism","00680 Methane metabolism [PATH:ko00680]","K00018"," hprA; glycerate dehydrogenase [EC:1.1.1.29]","Faecalibacterium_prausnitzii","01376"
"75","K00018","Bacteroides_xylanisolvens_02312",79,144,537,118,190,279,"09100 Metabolism","09102 Energy metabolism","00680 Methane metabolism [PATH:ko00680]","K00018"," hprA; glycerate dehydrogenase [EC:1.1.1.29]","Bacteroides_xylanisolvens","02312"
"76","K00018","Coprococcus_catus_01060",15,17,12,37,22,67,"09100 Metabolism","09102 Energy metabolism","00680 Methane metabolism [PATH:ko00680]","K00018"," hprA; glycerate dehydrogenase [EC:1.1.1.29]","Coprococcus_catus","01060"
"77","K00018","Agathobacter_rectalis_00312",348,359,593,369,625,928,"09100 Metabolism","09102 Energy metabolism","00680 Methane metabolism [PATH:ko00680]","K00018"," hprA; glycerate dehydrogenase [EC:1.1.1.29]","Agathobacter_rectalis","00312"
"78","K00020","Coprococcus_catus_00034",27,20,8,25,25,133,"09100 Metabolism","09105 Amino acid metabolism","00280 Valine, leucine and isoleucine degradation [PATH:ko00280]","K00020"," mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]","Coprococcus_catus","00034"
"79","K00024","Bacteroides_ovatus_03169",1733,3006,9585,840,534,751,"09100 Metabolism","09101 Carbohydrate metabolism","00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","K00024"," mdh; malate dehydrogenase [EC:1.1.1.37]","Bacteroides_ovatus","03169"
"80","K00024","Bacteroides_ovatus_04437",269,401,634,340,336,277,"09100 Metabolism","09101 Carbohydrate metabolism","00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","K00024"," mdh; malate dehydrogenase [EC:1.1.1.37]","Bacteroides_ovatus","04437"
"81","K00024","Bacteroides_xylanisolvens_00548",1323,2533,2037,330,361,440,"09100 Metabolism","09101 Carbohydrate metabolism","00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","K00024"," mdh; malate dehydrogenase [EC:1.1.1.37]","Bacteroides_xylanisolvens","00548"
"82","K00027","Anaerobutyricum_soehngenii_00735",37,58,9,32,37,83,"09100 Metabolism","09101 Carbohydrate metabolism","00620 Pyruvate metabolism [PATH:ko00620]","K00027"," ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]","Anaerobutyricum_soehngenii","00735"
"83","K00027","Roseburia_intestinalis_02369",89,129,277,65,109,113,"09100 Metabolism","09101 Carbohydrate metabolism","00620 Pyruvate metabolism [PATH:ko00620]","K00027"," ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]","Roseburia_intestinalis","02369"
"84","K00027","Faecalibacterium_prausnitzii_00045",199,214,403,807,791,719,"09100 Metabolism","09101 Carbohydrate metabolism","00620 Pyruvate metabolism [PATH:ko00620]","K00027"," ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]","Faecalibacterium_prausnitzii","00045"
"85","K00027","Agathobacter_rectalis_01335",808,884,984,372,739,1057,"09100 Metabolism","09101 Carbohydrate metabolism","00620 Pyruvate metabolism [PATH:ko00620]","K00027"," ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]","Agathobacter_rectalis","01335"
"86","K00027","Subdoligranulum_variabile_02185",40,47,111,163,191,304,"09100 Metabolism","09101 Carbohydrate metabolism","00620 Pyruvate metabolism [PATH:ko00620]","K00027"," ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]","Subdoligranulum_variabile","02185"
"87","K00027","Eubacterium_siraeum_02209",172,184,103,257,435,203,"09100 Metabolism","09101 Carbohydrate metabolism","00620 Pyruvate metabolism [PATH:ko00620]","K00027"," ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]","Eubacterium_siraeum","02209"
"88","K00027","Lachnospiraceae_bacterium_7_1_58FAA_04658",40,61,70,154,139,198,"09100 Metabolism","09101 Carbohydrate metabolism","00620 Pyruvate metabolism [PATH:ko00620]","K00027"," ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]","Lachnospiraceae_bacterium","7_1_58FAA_04658"
"89","K00029","Bacteroides_ovatus_04298",139,169,497,348,517,770,"09100 Metabolism","09101 Carbohydrate metabolism","00620 Pyruvate metabolism [PATH:ko00620]","K00029"," E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Bacteroides_ovatus","04298"
"90","K00029","Bacteroides_xylanisolvens_03446",33,55,172,87,182,195,"09100 Metabolism","09101 Carbohydrate metabolism","00620 Pyruvate metabolism [PATH:ko00620]","K00029"," E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Bacteroides_xylanisolvens","03446"
"91","K00031","Bacteroides_ovatus_04214",865,2053,2421,446,393,432,"09100 Metabolism","09106 Metabolism of other amino acids","00480 Glutathione metabolism [PATH:ko00480]","K00031"," IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]","Bacteroides_ovatus","04214"
"92","K00031","Lachnospiraceae_bacterium_7_1_58FAA_02412",74,104,135,339,288,235,"09100 Metabolism","09106 Metabolism of other amino acids","00480 Glutathione metabolism [PATH:ko00480]","K00031"," IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]","Lachnospiraceae_bacterium","7_1_58FAA_02412"
"93","K00031","Roseburia_intestinalis_00315",75,82,57,31,49,20,"09100 Metabolism","09106 Metabolism of other amino acids","00480 Glutathione metabolism [PATH:ko00480]","K00031"," IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]","Roseburia_intestinalis","00315"
"94","K00031","Anaerobutyricum_soehngenii_02161",18,38,5,31,53,94,"09100 Metabolism","09106 Metabolism of other amino acids","00480 Glutathione metabolism [PATH:ko00480]","K00031"," IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]","Anaerobutyricum_soehngenii","02161"
"95","K00031","Coprococcus_catus_01071",147,130,30,43,38,493,"09100 Metabolism","09106 Metabolism of other amino acids","00480 Glutathione metabolism [PATH:ko00480]","K00031"," IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]","Coprococcus_catus","01071"
